ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/6/2024 - 23,0.1,"2,233.2",790.5,21.7,"5,490.7",7.2,0.5,-0.7,"1,382.6","1,704.6",0.5,-0.2,0.1,300.8,129.4,0.2,0.2,0.7,2.3,-0.1,-0.4,11.9,-0.3,0.0,0.0,0.0,24.2,0.1,0.0
05/6/2024 - 24,0.1,"2,625.9",805.4,20.4,"5,511.1",-0.3,0.6,-0.6,"1,427.1","1,754.2",0.3,-0.3,0.1,78.6,37.9,0.1,0.3,0.1,1.1,-0.1,-0.4,12.0,-0.3,0.0,0.0,0.0,18.5,0.1,0.0
05/6/2024 - 25,0.1,"2,221.1",808.5,23.5,"5,613.3",12.0,0.5,-0.7,"1,435.5","1,794.0",0.4,-0.2,0.1,"2,035.6",639.7,1.3,0.5,0.3,4.3,0.0,-0.5,12.5,-0.3,0.0,0.1,0.1,41.9,0.1,0.0
05/6/2024 - 26,0.1,"2,572.4",818.6,17.8,"5,624.2",-0.7,0.6,-0.6,"1,455.4","1,835.1",0.3,-0.3,0.1,"1,410.9",588.6,1.2,0.3,0.0,4.8,-0.1,-0.6,12.7,-0.3,0.0,0.0,0.0,36.0,0.1,0.0
05/6/2024 - 29,0.6,"3,563.4",942.3,54.3,"11,177.9",25.6,0.3,-0.3,"1,124.7","2,475.3",1.7,-0.1,0.2,99.2,18.1,0.1,0.3,0.1,-0.2,-0.2,-0.6,16.4,-0.4,0.0,0.0,0.0,18.6,0.3,0.0
05/6/2024 - 30,0.6,"3,588.2",942.6,55.9,"11,255.9",26.4,0.3,-0.3,"1,132.4","2,484.2",1.5,-0.1,0.1,80.8,17.2,0.1,0.3,0.1,0.1,-0.2,-0.5,16.3,-0.4,0.0,0.0,0.0,18.6,0.3,0.0
05/6/2024 - 71,0.4,"3,175.9","1,848.5",65.8,"7,411.8",15.7,0.9,-0.7,"1,122.3","5,707.2",2.1,0.0,0.1,392.9,58.1,0.3,0.2,2.3,2.3,-0.1,-0.5,23.7,-0.4,0.0,0.1,0.1,20.0,0.2,0.0
05/6/2024 - 72,0.4,"3,498.9","1,844.9",15.1,"7,377.9",8.0,1.1,-0.6,"1,152.7","5,870.5",0.4,-0.2,0.1,46.0,22.6,0.1,0.1,1.1,1.2,-0.1,-0.3,23.9,-0.4,0.0,0.8,0.8,17.9,0.1,0.0
05/13/2024 - 1,0.3,"3,144.1","1,051.5",21.6,"7,393.3",10.8,0.9,-0.8,951.3,"2,377.6",0.5,-0.2,0.3,320.3,23.5,0.1,0.2,1.8,5.7,-0.1,-0.4,15.3,-0.4,0.0,0.0,0.0,16.5,0.1,0.0
05/13/2024 - 2,0.3,"3,275.6","1,057.8",17.9,"7,463.9",4.2,0.9,-0.2,"1,519.1","2,373.5",0.5,-0.2,0.3,94.6,6.8,0.0,0.8,2.0,131.6,-0.1,-0.4,15.3,-0.4,0.0,0.0,0.0,17.9,0.1,0.0
05/13/2024 - 3,0.3,"3,119.2","1,044.2",20.3,"7,404.4",11.1,0.9,-0.8,950.9,"2,367.2",0.7,-0.2,0.3,315.7,23.1,0.1,0.2,1.3,9.1,-0.1,-0.5,15.3,-0.3,0.0,0.0,0.0,16.5,0.1,0.0
05/13/2024 - 4,0.3,"3,195.4","1,046.8",15.8,"7,410.3",2.4,0.9,-0.5,"1,220.5","2,351.2",0.5,-0.2,0.3,105.5,3.3,0.0,0.3,1.2,41.7,-0.1,-0.3,15.3,-0.3,0.0,0.0,0.0,17.6,0.1,0.0
05/13/2024 - 5,0.3,"3,065.4","1,017.3",19.3,"6,963.8",14.7,1.0,-0.7,"1,029.2","2,269.6",0.5,-0.2,0.3,195.4,28.4,0.1,0.2,2.4,3.3,-0.1,-0.4,14.7,-0.4,0.0,0.0,0.0,20.4,0.1,0.0
05/13/2024 - 6,0.3,"3,064.1",995.9,4.8,"6,809.9",2.3,1.0,0.2,"2,097.3","2,227.0",0.4,-0.3,0.3,27.7,3.1,0.0,0.4,2.0,59.1,-0.1,-0.5,14.6,-0.4,0.2,0.0,0.0,21.7,0.1,0.0
05/13/2024 - 7,0.3,"3,183.8","1,080.3",26.4,"7,414.6",18.4,1.0,-0.1,"1,813.6","2,488.0",1.6,-0.2,0.5,728.5,269.5,0.5,2.1,3.1,72.7,-0.1,-0.4,16.1,-0.4,0.1,0.1,0.1,29.1,0.4,0.0
05/13/2024 - 8,0.3,"3,120.5","1,064.6",14.1,"7,432.5",2.5,1.0,-0.1,"1,679.5","2,461.3",0.4,-0.3,0.3,48.9,208.9,0.3,0.5,1.2,31.6,-0.1,-0.5,16.0,-0.4,0.0,0.0,0.0,27.4,0.1,0.0
05/13/2024 - 9,0.3,"3,067.8","1,059.8",24.6,"7,415.2",20.1,0.9,-0.7,"1,077.5","2,460.4",0.6,-0.2,0.3,"1,030.4",394.4,0.7,0.3,2.4,3.4,-0.1,-0.4,16.1,-0.4,0.0,0.0,0.0,30.2,0.1,0.0
05/13/2024 - 10,0.3,"3,093.9","1,069.8",16.2,"7,408.2",0.5,0.9,-0.7,"1,083.6","2,457.3",0.4,-0.3,0.3,43.2,228.5,0.3,0.5,1.4,18.7,-0.2,-0.3,16.0,-0.4,0.0,0.0,0.0,28.8,0.0,0.0
05/13/2024 - 11,0.2,"3,094.9","1,083.0",20.5,"7,551.7",17.5,1.0,-0.7,"1,150.9","2,539.0",0.9,-0.2,0.3,"1,002.6",400.1,0.7,0.5,2.5,28.2,-0.1,-0.3,16.5,-0.4,0.0,0.0,0.0,32.0,0.1,0.0
05/13/2024 - 12,0.2,"3,078.1","1,075.7",13.2,"7,394.3",0.6,0.9,-0.6,"1,145.0","2,485.9",0.4,-0.3,0.3,51.7,313.0,0.4,0.5,1.6,33.0,-0.1,-0.5,16.3,-0.4,0.0,0.0,0.0,31.3,0.0,0.0
05/13/2024 - 13,0.2,"3,044.3","1,067.8",19.6,"7,438.4",17.4,0.8,-0.7,"1,102.0","2,498.0",0.7,-0.2,0.3,"1,068.0",431.2,0.8,0.3,2.3,4.2,-0.1,-0.4,16.3,-0.3,0.0,0.0,0.0,32.9,0.1,0.0
05/13/2024 - 14,0.3,"3,062.9","1,075.7",14.2,"7,415.6",0.2,0.9,-0.6,"1,105.2","2,501.9",0.4,-0.3,0.3,51.6,342.7,0.5,0.3,1.4,40.5,-0.1,-0.4,16.4,-0.3,0.0,0.0,0.0,31.6,0.0,0.0
05/13/2024 - 15,0.4,"3,597.1","1,401.1",115.1,"11,669.9",47.6,0.7,-0.9,921.6,"3,121.4",3.8,0.4,0.5,"2,845.8",103.6,0.8,0.4,0.1,1.7,-0.1,-0.5,20.1,-0.3,0.0,0.0,0.0,26.3,0.2,0.0
05/13/2024 - 16,0.4,"3,648.2","1,409.4",24.9,"11,684.6",17.1,0.7,-0.8,930.3,"3,119.0",1.1,-0.1,0.4,"1,451.5",90.3,0.6,0.3,0.0,23.1,-0.1,-0.5,19.8,-0.4,0.0,0.0,0.0,25.0,0.1,0.0
05/13/2024 - 17,0.6,"3,577.8",955.4,73.9,"11,371.8",14.4,0.1,-0.9,"1,091.0","2,573.8",2.0,-0.1,0.3,120.6,23.5,0.1,0.2,0.1,1.6,-0.2,-0.4,16.5,-0.4,0.0,0.0,0.0,19.6,0.1,0.0
05/13/2024 - 18,0.6,"3,565.3",940.5,24.1,"11,459.8",10.8,0.1,-0.8,"1,080.1","2,493.8",0.7,-0.2,0.3,17.5,10.7,0.0,0.3,-0.1,28.5,-0.2,-0.5,16.2,-0.4,0.0,0.0,0.0,18.1,0.0,0.0
05/13/2024 - 19,0.1,"2,332.7",794.2,53.0,"5,745.0",13.2,0.2,-0.8,"1,407.5","1,725.4",0.7,-0.2,0.3,316.7,39.5,0.2,0.3,0.4,4.0,-0.1,-0.2,11.7,-0.4,0.0,0.0,0.0,18.0,0.2,0.0
05/13/2024 - 20,0.1,"2,398.2",747.4,22.3,"5,746.6",2.8,0.5,-0.7,"1,407.9","1,535.9",0.3,-0.2,0.3,159.6,4.9,0.1,1.1,0.6,4.6,-0.1,-0.3,11.1,-0.4,0.0,0.1,0.1,15.3,0.1,0.0
05/13/2024 - 21,0.1,"2,279.1",806.6,39.2,"5,670.9",14.4,0.3,-0.8,"1,370.6","1,750.6",0.6,-0.2,0.3,293.6,47.6,0.2,0.3,0.3,3.1,-0.1,-0.4,12.1,-0.4,0.0,0.0,0.0,21.3,0.1,0.0
05/13/2024 - 22,0.2,"2,299.5",784.5,19.9,"5,723.7",2.3,0.3,-0.8,"1,363.1","1,688.5",0.3,-0.2,0.3,110.5,9.8,0.1,0.4,0.3,28.2,-0.1,-0.3,11.9,-0.4,0.0,0.0,0.0,24.7,0.0,0.0
05/13/2024 - 23,0.1,"2,166.5",771.6,24.1,"5,407.5",7.4,0.4,-0.9,"1,391.6","1,701.7",0.7,-0.3,0.3,264.1,152.7,0.2,0.3,0.2,4.2,-0.1,-0.2,12.0,-0.3,0.0,0.0,0.0,25.7,0.1,0.0
05/13/2024 - 24,0.2,"2,193.6",776.1,16.2,"5,443.1",0.0,0.5,-0.7,"1,395.7","1,704.1",0.3,-0.3,0.3,85.1,81.0,0.1,0.4,0.0,213.8,-0.1,-0.4,12.1,-0.3,0.0,0.0,0.0,26.2,0.0,0.0
05/13/2024 - 25,0.1,"2,252.3",822.5,24.8,"5,724.9",11.1,0.3,-0.8,"1,495.7","1,860.7",0.6,-0.2,0.3,"3,149.0",891.8,1.7,0.5,0.5,11.3,0.0,-0.3,13.4,-0.3,0.0,0.0,0.0,48.6,0.2,0.0
05/13/2024 - 26,0.1,"2,214.9",814.5,15.7,"5,661.5",0.6,0.3,-0.9,"1,421.4","1,816.5",0.3,-0.3,0.3,"2,889.7",873.0,1.6,0.3,-0.1,17.3,0.0,-0.6,13.4,-0.3,0.0,0.0,0.0,48.9,0.0,0.0
05/13/2024 - 71,0.4,"3,164.9","2,265.2",52.9,"7,394.6",14.4,1.3,-0.8,"1,163.7","7,422.9",1.3,-0.1,0.3,359.0,57.1,0.3,0.3,2.1,4.0,-0.1,-0.5,28.7,-0.4,0.0,0.0,0.0,23.6,0.1,0.0
05/13/2024 - 72,0.4,"3,275.4","2,311.8",24.2,"7,516.0",8.4,1.8,-0.8,"1,198.6","7,490.0",0.4,-0.2,0.3,96.1,32.8,0.1,0.3,1.3,18.6,-0.2,-0.3,28.9,-0.4,0.0,0.0,0.0,22.5,0.0,0.0
05/20/2024 - 1,0.3,"3,046.0","1,022.6",14.4,"7,191.9",8.8,1.3,-0.9,918.9,"2,299.9",0.6,-0.3,0.1,257.7,18.9,0.1,0.1,1.1,0.2,-0.2,-0.7,15.2,-0.4,0.0,0.0,0.0,14.9,0.0,0.0
05/20/2024 - 2,0.3,"3,050.4","1,005.8",9.7,"7,234.1",0.1,1.1,-0.9,924.2,"2,232.8",0.3,-0.3,0.1,52.0,4.5,0.0,0.2,0.9,7.7,-0.2,-0.6,15.0,-0.4,0.0,0.0,0.0,15.7,0.0,0.0
05/20/2024 - 3,0.3,"3,086.7","1,051.7",16.6,"7,474.6",9.9,0.9,-0.9,948.8,"2,371.0",0.5,-0.2,0.1,343.7,23.0,0.1,0.1,1.4,2.2,-0.1,-0.4,15.7,-0.4,0.0,0.0,0.0,16.1,0.0,0.0
05/20/2024 - 4,0.3,"3,063.1","1,025.4",10.5,"7,369.8",0.5,0.9,-0.9,943.9,"2,310.5",0.4,-0.3,0.1,60.7,3.6,0.0,0.2,0.9,17.1,-0.2,-0.6,15.2,-0.4,0.0,0.0,0.0,15.5,0.0,0.0
05/20/2024 - 5,0.3,"3,074.6","1,031.5",17.6,"7,371.9",13.6,1.0,-0.9,990.8,"2,331.9",0.7,-0.2,0.1,407.4,49.8,0.1,0.1,2.1,0.8,-0.1,-0.3,15.3,-0.3,0.0,0.0,0.0,19.0,0.0,0.0
05/20/2024 - 6,0.3,"3,089.3","1,018.3",11.3,"7,239.2",1.2,1.0,-0.8,"1,017.0","2,290.4",0.5,-0.3,0.1,52.4,2.9,0.0,0.2,1.6,22.9,-0.1,-0.3,15.3,-0.3,0.0,0.0,0.0,21.3,0.0,0.0
05/20/2024 - 7,0.2,"3,037.0","1,072.2",18.3,"7,539.8",18.3,1.0,-0.8,"1,082.2","2,513.8",0.9,-0.2,0.1,"1,166.6",448.4,0.8,0.2,2.3,2.2,-0.1,-0.4,16.5,-0.3,0.0,0.0,0.0,32.4,0.0,0.0
05/20/2024 - 8,0.2,"3,048.9","1,066.4",10.4,"7,520.6",0.5,0.9,-0.8,"1,107.1","2,489.4",0.5,-0.3,0.2,100.9,387.0,0.6,0.5,1.7,28.6,-0.1,-0.7,16.6,-0.4,0.0,0.0,0.0,33.4,0.0,0.0
05/20/2024 - 9,0.2,"3,068.5","1,088.4",15.3,"7,650.4",16.6,0.9,-0.8,"1,111.9","2,538.7",0.7,-0.2,0.1,"1,343.6",525.0,1.0,0.2,2.2,2.1,-0.1,-0.6,16.7,-0.4,0.0,0.0,0.0,34.2,0.0,0.0
05/20/2024 - 10,0.2,"3,113.5","1,087.9",17.8,"7,699.9",0.1,1.0,-0.5,"1,382.7","2,542.8",0.4,-0.3,0.1,92.5,458.3,0.7,0.4,1.6,19.5,-0.1,-0.4,16.8,-0.4,0.0,0.0,0.0,33.4,0.0,0.0
05/20/2024 - 11,0.2,"3,053.6","1,083.3",14.2,"7,697.3",16.2,0.8,-0.8,"1,098.0","2,541.0",0.6,-0.2,0.1,"1,361.6",528.2,1.0,0.2,2.2,0.3,-0.1,-0.6,16.9,-0.4,0.0,0.0,0.0,34.4,0.0,0.0
05/20/2024 - 12,0.2,"3,092.4","1,084.4",9.6,"7,654.6",0.1,0.9,-0.5,"1,392.5","2,517.0",0.4,-0.3,0.1,91.9,455.6,0.7,0.4,1.4,20.7,-0.2,-0.4,16.7,-0.4,0.0,0.0,0.0,33.7,0.0,0.0
05/20/2024 - 13,0.2,"3,084.0","1,085.9",14.7,"7,716.8",17.7,0.9,-0.8,"1,093.8","2,525.5",0.5,-0.2,0.1,"1,356.1",525.1,1.0,0.2,2.2,0.3,-0.1,-0.6,16.7,-0.4,0.0,0.0,0.0,34.5,0.0,0.0
05/20/2024 - 14,0.2,"3,115.3","1,080.0",11.2,"7,655.3",0.6,0.8,-0.6,"1,349.8","2,517.4",0.3,-0.3,0.1,88.2,457.8,0.7,0.3,1.7,12.9,-0.2,-0.5,16.8,-0.4,0.0,0.0,0.0,32.8,0.0,0.0
05/20/2024 - 15,0.8,"3,256.6",954.6,169.9,"10,726.4",20.1,0.4,-1.0,"1,116.2","2,584.3",4.2,0.1,0.3,279.6,43.9,0.2,0.2,0.7,1.5,-0.1,-0.4,17.1,-0.3,0.0,0.1,0.1,22.9,0.4,0.0
05/20/2024 - 16,0.6,"3,258.0",897.7,24.3,"10,597.4",10.2,0.4,-0.9,"1,084.6","2,408.0",0.8,-0.2,0.1,8.7,3.7,0.0,0.1,-0.1,24.1,-0.2,-0.6,16.2,-0.3,0.0,0.0,0.0,17.8,0.0,0.0
05/20/2024 - 19,0.1,"2,238.2",778.7,45.2,"5,638.2",10.4,0.2,-0.9,"1,345.9","1,681.6",0.9,-0.2,0.1,394.9,45.5,0.2,0.2,0.4,15.7,-0.1,-0.1,11.6,-0.3,0.0,0.0,0.0,17.3,0.1,0.0
05/20/2024 - 20,0.1,"2,226.5",730.6,22.5,"5,585.7",3.6,0.1,-0.9,"1,317.4","1,512.7",0.3,-0.2,0.1,190.0,5.2,0.1,0.1,0.2,1.3,-0.1,-0.5,10.8,-0.4,0.0,0.0,0.0,13.4,0.0,0.0
05/20/2024 - 21,0.1,"2,265.3",811.2,34.4,"5,677.3",13.4,0.4,-0.9,"1,358.1","1,772.6",0.6,-0.2,0.1,434.1,73.1,0.2,0.1,0.3,1.4,-0.1,-0.5,12.4,-0.4,0.0,0.0,0.0,23.9,0.0,0.0
05/20/2024 - 22,0.1,"2,320.2",806.2,16.6,"5,708.7",2.9,0.3,-0.8,"1,416.9","1,741.3",0.3,-0.3,0.1,186.7,14.6,0.1,0.3,0.4,27.9,-0.1,-0.5,12.3,-0.4,0.0,0.0,0.0,22.2,0.0,0.0
05/20/2024 - 23,0.1,"2,238.3",806.6,17.3,"5,561.6",9.4,0.7,-0.9,"1,448.1","1,752.7",0.4,-0.3,0.1,380.9,330.2,0.4,0.2,0.2,2.7,-0.1,-0.5,12.4,-0.4,0.0,0.0,0.0,36.1,0.0,0.0
05/20/2024 - 24,0.1,"2,326.8",805.4,15.0,"5,574.4",0.8,0.6,-0.8,"1,540.8","1,773.6",0.2,-0.3,0.1,126.4,283.2,0.3,0.4,0.4,23.2,-0.1,-0.5,12.4,-0.4,0.0,0.0,0.0,28.5,0.1,0.0
05/20/2024 - 25,0.1,"2,275.9",861.8,23.1,"5,989.2",11.8,0.3,-0.9,"1,493.3","1,938.6",0.4,-0.2,0.1,"6,058.7","1,334.0",2.5,0.2,0.2,1.2,0.0,-0.5,14.1,-0.3,0.0,0.0,0.0,62.9,0.1,0.0
05/20/2024 - 26,0.1,"2,310.4",870.0,19.9,"6,043.3",1.1,0.1,-0.9,"1,532.1","1,970.4",0.3,-0.2,0.1,"7,287.3","1,415.4",2.6,0.3,-0.1,7.8,0.0,-0.6,14.5,-0.3,0.0,0.0,0.0,67.2,0.0,0.0
05/20/2024 - 29,0.7,"3,514.7","1,005.9",125.4,"10,352.5",636.0,0.8,-0.6,"1,849.5","3,432.0",3.5,0.1,0.3,209.4,41.0,0.2,0.9,1.9,8.6,-0.1,-0.3,18.5,-0.2,0.0,0.2,0.2,23.7,0.7,0.0
05/20/2024 - 30,0.7,"3,380.2",971.4,102.8,"10,339.1",580.5,0.7,-0.9,"1,582.9","3,065.6",2.9,0.0,0.3,172.9,28.7,0.1,0.2,0.3,1.5,-0.1,-0.5,17.4,-0.3,0.0,0.1,0.1,21.2,0.3,0.0
05/20/2024 - 71,0.4,"3,197.4","1,679.5",34.4,"7,505.0",11.9,1.1,-0.9,"1,098.1","5,084.8",1.0,-0.1,0.1,256.2,30.5,0.1,0.3,2.1,2.7,-0.1,-0.6,22.8,-0.4,0.0,0.1,0.1,17.5,0.0,0.0
05/20/2024 - 72,0.4,"4,082.6","1,678.5",11.5,"7,490.3",4.4,1.0,-0.8,930.8,"5,173.4",0.4,-0.2,0.1,39.3,14.0,0.1,0.1,1.0,-0.8,-0.2,-0.2,22.7,-0.4,0.0,0.0,0.0,13.5,0.0,0.0
